"Campaign","Location"
"MA2026_neutral_09","9210217"
"MA2026_neutral_09","9215858"
"MA2026_neutral_09","9222199"
"MA2026_neutral_09","9214713"
"MA2026_neutral_09","9232835"
"MA2026_neutral_09","9220902"
"MA2026_neutral_09","9210297"
"MA2026_neutral_09","9218410"
"MA2026_neutral_09","9217865"
"MA2026_neutral_09","9244210"
"MA2026_neutral_09","9229871"
"MA2026_neutral_09","9221652"
"MA2026_neutral_09","9224711"
"MA2026_neutral_09","1005405"
"MA2026_neutral_09","9207229"
"MA2026_neutral_09","9213493"
"MA2026_neutral_09","9210994"
"MA2026_neutral_09","9214001"
"MA2026_neutral_09","9243701"
"MA2026_neutral_09","9218471"
"MA2026_neutral_09","9217316"
"MA2026_neutral_09","9208006"
"MA2026_neutral_09","9210874"
"MA2026_neutral_09","9210293"
"MA2026_neutral_09","9214231"
"MA2026_neutral_09","1005473"
"MA2026_neutral_09","9213147"
"MA2026_neutral_09","9261657"
"MA2026_neutral_09","9219456"
"MA2026_neutral_09","9257314"
"MA2026_neutral_09","9049206"
"MA2026_neutral_10","9049209"
"MA2026_neutral_10","9212015"
"MA2026_neutral_10","9219350"
"MA2026_neutral_10","9217118"
"MA2026_neutral_10","9231324"
"MA2026_neutral_10","9219563"
"MA2026_neutral_10","9258842"
"MA2026_neutral_10","9243097"
"MA2026_neutral_10","9253072"
"MA2026_neutral_10","9218468"
"MA2026_neutral_10","1005534"
"MA2026_neutral_10","9219982"
"MA2026_neutral_10","9216873"
"MA2026_neutral_10","1005422"
"MA2026_neutral_10","9236179"
"MA2026_neutral_10","9249777"
"MA2026_neutral_10","9049221"
"MA2026_neutral_10","9244405"
"MA2026_neutral_10","1005497"
"MA2026_neutral_10","9049228"
"MA2026_neutral_10","9049229"
"MA2026_neutral_10","9245636"
"MA2026_neutral_10","9221151"
"MA2026_neutral_10","1005522"
"MA2026_neutral_10","9240729"
"MA2026_neutral_10","9243406"
"MA2026_neutral_10","9237330"
"MA2026_neutral_10","9218813"
"MA2026_neutral_10","9217093"
"MA2026_neutral_10","9222665"
"MA2026_neutral_10","9211743"
"MA2026_neutral_10","9220268"
"MA2026_neutral_10","9211626"
"MA2026_neutral_10","9227013"
"MA2026_neutral_10","9256217"
"MA2026_neutral_10","9208031"
"MA2026_neutral_10","9225174"
"MA2026_neutral_10","9222329"
"MA2026_neutral_10","9245405"
"MA2026_neutral_10","9236349"
"MA2026_neutral_10","9219885"
"MA2026_neutral_10","9218206"
