"unit_name","municipality","province","autonomous_community","google_criteria_id","google_name","google_canonical_name","google_target_type","match_type"
"Aguatón, Teruel","Aguatón","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Aguaviva, Teruel","Aguaviva","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Agudo, Ciudad Real","Agudo","Ciudad Real","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Aguilafuente, Segovia","Aguilafuente","Segovia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Aguilar de Bureba, Burgos","Aguilar de Bureba","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Aguilar de Campoo, Palencia","Aguilar de Campoo","Palencia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Aguilar de Campos, Valladolid","Aguilar de Campos","Valladolid","Castilla y León",NA,NA,NA,NA,"unmatched"
"Aguilar de Codés, Navarra","Aguilar de Codés","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Aguilar de Segarra, Barcelona","Aguilar de Segarra","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"Aguilar de la Frontera, Córdoba","Aguilar de la Frontera","Córdoba","Andalucía","9257440","Aguilar de la Frontera","Aguilar de la Frontera,Andalusia,Spain","Municipality","name+community"
"Aguilar del Alfambra, Teruel","Aguilar del Alfambra","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Aguilar del Río Alhama, La Rioja","Aguilar del Río Alhama","La Rioja","La Rioja",NA,NA,NA,NA,"unmatched"
"Aguilón, Zaragoza","Aguilón","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Agullana, Girona","Agullana","Girona","Cataluña",NA,NA,NA,NA,"unmatched"
"Agullent, Valencia","Agullent","Valencia","Comunidad Valenciana","1005535","Agullent","Agullent,Valencian Community,Spain","City","name+community"
"Agulo, Santa Cruz de Tenerife","Agulo","Santa Cruz de Tenerife","Islas Canarias",NA,NA,NA,NA,"unmatched"
"Agón, Zaragoza","Agón","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Agüero, Huesca","Agüero","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Agüimes, Las Palmas","Agüimes","Las Palmas","Islas Canarias",NA,NA,NA,NA,"unmatched"
"Ahigal de Villarino, Salamanca","Ahigal de Villarino","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Ahigal de los Aceiteros, Salamanca","Ahigal de los Aceiteros","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Ahigal, Cáceres","Ahigal","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Ahillones, Badajoz","Ahillones","Badajoz","Extremadura",NA,NA,NA,NA,"unmatched"
"Aia, Guipúzcoa","Aia","Guipúzcoa","País Vasco",NA,NA,NA,NA,"unmatched"
"Aibar, Navarra","Aibar","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Aielo de Malferit, Valencia","Aielo de Malferit","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Aielo de Rugat, Valencia","Aielo de Rugat","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Aiguafreda, Barcelona","Aiguafreda","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"Aiguamúrcia, Tarragona","Aiguamúrcia","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"Aiguaviva, Girona","Aiguaviva","Girona","Cataluña",NA,NA,NA,NA,"unmatched"
"Aigües, Alicante","Aigües","Alicante","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Ainzón, Zaragoza","Ainzón","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Aisa, Huesca","Aisa","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Aitona, Lleida","Aitona","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"Aizarnazabal, Guipúzcoa","Aizarnazabal","Guipúzcoa","País Vasco",NA,NA,NA,NA,"unmatched"
"Ajalvir, Madrid","Ajalvir","Madrid","Comunidad de Madrid","1005486","Ajalvir","Ajalvir,Community of Madrid,Spain","City","name+community"
"Ajamil, La Rioja","Ajamil","La Rioja","La Rioja",NA,NA,NA,NA,"unmatched"
"Ajangiz, Vizcaya","Ajangiz","Vizcaya","País Vasco",NA,NA,NA,NA,"unmatched"
"Ajofrín, Toledo","Ajofrín","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Alacón, Teruel","Alacón","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Aladrén, Zaragoza","Aladrén","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Alaejos, Valladolid","Alaejos","Valladolid","Castilla y León",NA,NA,NA,NA,"unmatched"
"Alagón, Zaragoza","Alagón","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Alaior, Baleares","Alaior","Baleares","Islas Baleares","9209628","Alaior","Alaior,Balearic Islands,Spain","Municipality","name+community"
"Alajeró, Santa Cruz de Tenerife","Alajeró","Santa Cruz de Tenerife","Islas Canarias",NA,NA,NA,NA,"unmatched"
"Alameda de la Sagra, Toledo","Alameda de la Sagra","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Alameda del Valle, Madrid","Alameda del Valle","Madrid","Comunidad de Madrid",NA,NA,NA,NA,"unmatched"
"Alameda, Málaga","Alameda","Málaga","Andalucía",NA,NA,NA,NA,"unmatched"
"Alamedilla, Granada","Alamedilla","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Alamillo, Ciudad Real","Alamillo","Ciudad Real","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Alaminos, Guadalajara","Alaminos","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Alange, Badajoz","Alange","Badajoz","Extremadura",NA,NA,NA,NA,"unmatched"
"Alanís, Sevilla","Alanís","Sevilla","Andalucía",NA,NA,NA,NA,"unmatched"
"Alaquàs, Valencia","Alaquàs","Valencia","Comunidad Valenciana","9235468","Alaquas","Alaquas,Valencian Community,Spain","Municipality","name+community"
"Alar del Rey, Palencia","Alar del Rey","Palencia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Alaraz, Salamanca","Alaraz","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Alarba, Zaragoza","Alarba","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Alarcón, Cuenca","Alarcón","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Alarilla, Guadalajara","Alarilla","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Alaró, Baleares","Alaró","Baleares","Islas Baleares","9211756","Alaro","Alaro,Balearic Islands,Spain","Municipality","name+community"
"Alatoz, Albacete","Alatoz","Albacete","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Alba de Cerrato, Palencia","Alba de Cerrato","Palencia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Alba de Tormes, Salamanca","Alba de Tormes","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Alba de Yeltes, Salamanca","Alba de Yeltes","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Alba, Teruel","Alba","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Albacete, Albacete","Albacete","Albacete","Castilla-La Mancha","9212825","Municipality of Albacete","Municipality of Albacete,Castile-La Mancha,Spain","Municipality","name+community"
"Albaida del Aljarafe, Sevilla","Albaida del Aljarafe","Sevilla","Andalucía",NA,NA,NA,NA,"unmatched"
"Albaida, Valencia","Albaida","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Albal, Valencia","Albal","Valencia","Comunidad Valenciana","9233578","Albal","Albal,Valencian Community,Spain","Municipality","name+community"
