"unit_name","municipality","province","autonomous_community","google_criteria_id","google_name","google_canonical_name","google_target_type","match_type"
"Cunit, Tarragona","Cunit","Tarragona","Cataluña","9218990","Cunit","Cunit,Catalonia,Spain","City","name+community"
"Cuntis, Pontevedra","Cuntis","Pontevedra","Galicia","9214634","Cuntis","Cuntis,Galicia,Spain","Municipality","name+community"
"Curiel de Duero, Valladolid","Curiel de Duero","Valladolid","Castilla y León",NA,NA,NA,NA,"unmatched"
"Curtis, A Coruña","Curtis","A Coruña","Galicia","9215232","Curtis","Curtis,Galicia,Spain","Municipality","name+community"
"Cuzcurrita de Río Tirón, La Rioja","Cuzcurrita de Río Tirón","La Rioja","La Rioja",NA,NA,NA,NA,"unmatched"
"Cuéllar, Segovia","Cuéllar","Segovia","Castilla y León","9258166","Cuellar","Cuellar,Castile and Leon,Spain","City","name+community"
"Càlig, Castellón","Càlig","Castellón","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Cànoves i Samalús, Barcelona","Cànoves i Samalús","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"Càrcer, Valencia","Càrcer","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Cáceres, Cáceres","Cáceres","Cáceres","Extremadura","9211934","Caceres","Caceres,Extremadura,Spain","Municipality","name+community"
"Cádiar, Granada","Cádiar","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Cádiz, Cádiz","Cádiz","Cádiz","Andalucía","9209506","Cadiz","Cadiz,Andalusia,Spain","Municipality","name+community"
"Cájar, Granada","Cájar","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Cárcar, Navarra","Cárcar","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Cárcheles, Jaén","Cárcheles","Jaén","Andalucía",NA,NA,NA,NA,"unmatched"
"Cárdenas, La Rioja","Cárdenas","La Rioja","La Rioja",NA,NA,NA,NA,"unmatched"
"Cármenes, León","Cármenes","León","Castilla y León",NA,NA,NA,NA,"unmatched"
"Cártama, Málaga","Cártama","Málaga","Andalucía",NA,NA,NA,NA,"unmatched"
"Cáseda, Navarra","Cáseda","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Cástaras, Granada","Cástaras","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Cáñar, Granada","Cáñar","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Cóbdar, Almería","Cóbdar","Almería","Andalucía",NA,NA,NA,NA,"unmatched"
"Cómpeta, Málaga","Cómpeta","Málaga","Andalucía",NA,NA,NA,NA,"unmatched"
"Córdoba, Córdoba","Córdoba","Córdoba","Andalucía","9211959","Cordoba","Cordoba,Andalusia,Spain","Municipality","name+community"
"Cózar, Ciudad Real","Cózar","Ciudad Real","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Cúllar Vega, Granada","Cúllar Vega","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Cúllar, Granada","Cúllar","Granada","Andalucía","9220579","Cullar","Cullar,Andalusia,Spain","Municipality","name+community"
"Cútar, Málaga","Cútar","Málaga","Andalucía",NA,NA,NA,NA,"unmatched"
"Daganzo de Arriba, Madrid","Daganzo de Arriba","Madrid","Comunidad de Madrid",NA,NA,NA,NA,"unmatched"
"Daimiel, Ciudad Real","Daimiel","Ciudad Real","Castilla-La Mancha","9224918","Daimiel","Daimiel,Castile-La Mancha,Spain","Municipality","name+community"
"Daimús, Valencia","Daimús","Valencia","Comunidad Valenciana","9256168","Daimus","Daimus,Valencian Community,Spain","Municipality","name+community"
"Dalías, Almería","Dalías","Almería","Andalucía",NA,NA,NA,NA,"unmatched"
"Darnius, Girona","Darnius","Girona","Cataluña",NA,NA,NA,NA,"unmatched"
"Daroca de Rioja, La Rioja","Daroca de Rioja","La Rioja","La Rioja",NA,NA,NA,NA,"unmatched"
"Daroca, Zaragoza","Daroca","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Darro, Granada","Darro","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Das, Girona","Das","Girona","Cataluña",NA,NA,NA,NA,"unmatched"
"Daya Nueva, Alicante","Daya Nueva","Alicante","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Daya Vieja, Alicante","Daya Vieja","Alicante","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Deba, Guipúzcoa","Deba","Guipúzcoa","País Vasco",NA,NA,NA,NA,"unmatched"
"Degaña, Asturias","Degaña","Asturias","Principado de Asturias",NA,NA,NA,NA,"unmatched"
"Dehesa de Montejo, Palencia","Dehesa de Montejo","Palencia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Dehesa de Romanos, Palencia","Dehesa de Romanos","Palencia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Dehesas de Guadix, Granada","Dehesas de Guadix","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Deifontes, Granada","Deifontes","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Deleitosa, Cáceres","Deleitosa","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Deltebre, Tarragona","Deltebre","Tarragona","Cataluña","9049052","Deltebre","Deltebre,Catalonia,Spain","City","name+community"
"Derio, Vizcaya","Derio","Vizcaya","País Vasco","9260474","Derio","Derio,Basque Country,Spain","Municipality","name+community"
"Descargamaría, Cáceres","Descargamaría","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Desojo, Navarra","Desojo","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Destriana, León","Destriana","León","Castilla y León",NA,NA,NA,NA,"unmatched"
"Deyá, Baleares","Deyá","Baleares","Islas Baleares",NA,NA,NA,NA,"unmatched"
"Deza, Soria","Deza","Soria","Castilla y León",NA,NA,NA,NA,"unmatched"
"Dicastillo, Navarra","Dicastillo","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Diego del Carpio, Ávila","Diego del Carpio","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"Diezma, Granada","Diezma","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Dima, Vizcaya","Dima","Vizcaya","País Vasco",NA,NA,NA,NA,"unmatched"
"Dios le Guarde, Salamanca","Dios le Guarde","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Dodro, A Coruña","Dodro","A Coruña","Galicia",NA,NA,NA,NA,"unmatched"
"Dolores, Alicante","Dolores","Alicante","Comunidad Valenciana","9049054","Dolores","Dolores,Valencian Community,Spain","City","name+community"
"Domeño, Valencia","Domeño","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Domingo García, Segovia","Domingo García","Segovia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Domingo Pérez, Toledo","Domingo Pérez","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Don Benito, Badajoz","Don Benito","Badajoz","Extremadura","1005477","Don Benito","Don Benito,Extremadura,Spain","City","name+community"
"Don Álvaro, Badajoz","Don Álvaro","Badajoz","Extremadura",NA,NA,NA,NA,"unmatched"
"Donamaria, Navarra","Donamaria","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Doneztebe, Navarra","Doneztebe","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Donhierro, Segovia","Donhierro","Segovia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Donjimeno, Ávila","Donjimeno","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"Donostia-San Sebastián, Guipúzcoa","Donostia-San Sebastián","Guipúzcoa","País Vasco","9220425","Donostia / San Sebastian","Donostia / San Sebastian,Basque Country,Spain","Municipality","name+community"
"Donvidas, Ávila","Donvidas","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"Dos Aguas, Valencia","Dos Aguas","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Dos Hermanas, Sevilla","Dos Hermanas","Sevilla","Andalucía","9195738","Dos Hermanas","Dos Hermanas,Andalusia,Spain","City","name+community"
"Dos Torres, Córdoba","Dos Torres","Córdoba","Andalucía",NA,NA,NA,NA,"unmatched"
"Dosbarrios, Toledo","Dosbarrios","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Dosrius, Barcelona","Dosrius","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"Dozón, Pontevedra","Dozón","Pontevedra","Galicia",NA,NA,NA,NA,"unmatched"
"Doña Mencía, Córdoba","Doña Mencía","Córdoba","Andalucía",NA,NA,NA,NA,"unmatched"
"Doñinos de Ledesma, Salamanca","Doñinos de Ledesma","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Doñinos de Salamanca, Salamanca","Doñinos de Salamanca","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Driebes, Guadalajara","Driebes","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Duesaigües, Tarragona","Duesaigües","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"Dueñas, Palencia","Dueñas","Palencia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Dumbría, A Coruña","Dumbría","A Coruña","Galicia",NA,NA,NA,NA,"unmatched"
"Durango, Vizcaya","Durango","Vizcaya","País Vasco","9264153","Durango","Durango,Basque Country,Spain","Municipality","name+community"
"Duruelo de la Sierra, Soria","Duruelo de la Sierra","Soria","Castilla y León",NA,NA,NA,NA,"unmatched"
"Duruelo, Segovia","Duruelo","Segovia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Durón, Guadalajara","Durón","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Dénia, Alicante","Dénia","Alicante","Comunidad Valenciana","9049053","Denia","Denia,Valencian Community,Spain","City","name+community"
"Dévanos, Soria","Dévanos","Soria","Castilla y León",NA,NA,NA,NA,"unmatched"
"Dílar, Granada","Dílar","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Dólar, Granada","Dólar","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Dúdar, Granada","Dúdar","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Dúrcal, Granada","Dúrcal","Granada","Andalucía","9049056","Durcal","Durcal,Andalusia,Spain","City","name+community"
"Ea, Vizcaya","Ea","Vizcaya","País Vasco",NA,NA,NA,NA,"unmatched"
"Echarri, Navarra","Echarri","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Egüés, Navarra","Egüés","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Eibar, Guipúzcoa","Eibar","Guipúzcoa","País Vasco","9214386","Eibar","Eibar,Basque Country,Spain","Municipality","name+community"
"Eivissa, Baleares","Eivissa","Baleares","Islas Baleares","1005514","Eivissa","Eivissa,Balearic Islands,Spain","City","name+community"
"Ejea de los Caballeros, Zaragoza","Ejea de los Caballeros","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Ejeme, Salamanca","Ejeme","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Ejulve, Teruel","Ejulve","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"El Acebrón, Cuenca","El Acebrón","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Alamús, Lleida","El Alamús","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"El Almendro, Huelva","El Almendro","Huelva","Andalucía",NA,NA,NA,NA,"unmatched"
"El Arco, Salamanca","El Arco","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Arenal, Ávila","El Arenal","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Astillero, Cantabria","El Astillero","Cantabria","Cantabria","9261506","El Astillero","El Astillero,Cantabria,Spain","Municipality","name+community"
"El Atazar, Madrid","El Atazar","Madrid","Comunidad de Madrid",NA,NA,NA,NA,"unmatched"
"El Ballestero, Albacete","El Ballestero","Albacete","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Barco de Ávila, Ávila","El Barco de Ávila","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Barraco, Ávila","El Barraco","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Berrueco, Madrid","El Berrueco","Madrid","Comunidad de Madrid",NA,NA,NA,NA,"unmatched"
"El Boalo, Madrid","El Boalo","Madrid","Comunidad de Madrid",NA,NA,NA,NA,"unmatched"
"El Bodón, Salamanca","El Bodón","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Bohodón, Ávila","El Bohodón","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Bonillo, Albacete","El Bonillo","Albacete","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Borge, Málaga","El Borge","Málaga","Andalucía",NA,NA,NA,NA,"unmatched"
"El Bosque, Cádiz","El Bosque","Cádiz","Andalucía",NA,NA,NA,NA,"unmatched"
"El Bruc, Barcelona","El Bruc","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Brull, Barcelona","El Brull","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Burgo Ranero, León","El Burgo Ranero","León","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Burgo de Ebro, Zaragoza","El Burgo de Ebro","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"El Burgo, Málaga","El Burgo","Málaga","Andalucía",NA,NA,NA,NA,"unmatched"
"El Buste, Zaragoza","El Buste","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"El Busto, Navarra","El Busto","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"El Cabaco, Salamanca","El Cabaco","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Campello, Alicante","El Campello","Alicante","Comunidad Valenciana","9207668","El Campello","El Campello,Valencian Community,Spain","Municipality","name+community"
"El Campillo de la Jara, Toledo","El Campillo de la Jara","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Campillo, Huelva","El Campillo","Huelva","Andalucía",NA,NA,NA,NA,"unmatched"
"El Campillo, Valladolid","El Campillo","Valladolid","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Campo de Peñaranda, Salamanca","El Campo de Peñaranda","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Cardoso de la Sierra, Guadalajara","El Cardoso de la Sierra","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Carpio de Tajo, Toledo","El Carpio de Tajo","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Carpio, Córdoba","El Carpio","Córdoba","Andalucía",NA,NA,NA,NA,"unmatched"
"El Carrascalejo, Badajoz","El Carrascalejo","Badajoz","Extremadura",NA,NA,NA,NA,"unmatched"
"El Casar de Escalona, Toledo","El Casar de Escalona","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Casar, Guadalajara","El Casar","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Castell de Guadalest, Alicante","El Castell de Guadalest","Alicante","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"El Castellar, Teruel","El Castellar","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"El Castillo de las Guardas, Sevilla","El Castillo de las Guardas","Sevilla","Andalucía",NA,NA,NA,NA,"unmatched"
"El Catllar, Tarragona","El Catllar","Tarragona","Cataluña","9208091","El Catllar","El Catllar,Catalonia,Spain","Municipality","name+community"
"El Cañavate, Cuenca","El Cañavate","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Cerro de Andévalo, Huelva","El Cerro de Andévalo","Huelva","Andalucía",NA,NA,NA,NA,"unmatched"
"El Cerro, Salamanca","El Cerro","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Cogul, Lleida","El Cogul","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"El Coronil, Sevilla","El Coronil","Sevilla","Andalucía",NA,NA,NA,NA,"unmatched"
"El Cubillo de Uceda, Guadalajara","El Cubillo de Uceda","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Cubo de Don Sancho, Salamanca","El Cubo de Don Sancho","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Cubo de Tierra del Vino, Zamora","El Cubo de Tierra del Vino","Zamora","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Cuervo de Sevilla, Sevilla","El Cuervo de Sevilla","Sevilla","Andalucía","9049057","El Cuervo de Sevilla","El Cuervo de Sevilla,Andalusia,Spain","City","name+community"
"El Cuervo, Teruel","El Cuervo","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"El Ejido, Almería","El Ejido","Almería","Andalucía","9049058","El Ejido","El Ejido,Andalusia,Spain","City","name+community"
"El Escorial, Madrid","El Escorial","Madrid","Comunidad de Madrid","9251242","El Escorial","El Escorial,Community of Madrid,Spain","City","name+community"
"El Espinar, Segovia","El Espinar","Segovia","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Far d'Empordà, Girona","El Far d'Empordà","Girona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Frago, Zaragoza","El Frago","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"El Franco, Asturias","El Franco","Asturias","Principado de Asturias","9211780","El Franco","El Franco,Asturias,Spain","Municipality","name+community"
"El Frasno, Zaragoza","El Frasno","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"El Fresno, Ávila","El Fresno","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Garrobo, Sevilla","El Garrobo","Sevilla","Andalucía",NA,NA,NA,NA,"unmatched"
"El Gastor, Cádiz","El Gastor","Cádiz","Andalucía",NA,NA,NA,NA,"unmatched"
"El Gordo, Cáceres","El Gordo","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"El Grado, Huesca","El Grado","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"El Granado, Huelva","El Granado","Huelva","Andalucía",NA,NA,NA,NA,"unmatched"
"El Guijo, Córdoba","El Guijo","Córdoba","Andalucía",NA,NA,NA,NA,"unmatched"
"El Herrumblar, Cuenca","El Herrumblar","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Hito, Cuenca","El Hito","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Hornillo, Ávila","El Hornillo","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Hoyo de Pinares, Ávila","El Hoyo de Pinares","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Lloar, Tarragona","El Lloar","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Losar del Barco, Ávila","El Losar del Barco","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Maderal, Zamora","El Maderal","Zamora","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Madroño, Sevilla","El Madroño","Sevilla","Andalucía",NA,NA,NA,NA,"unmatched"
"El Manzano, Salamanca","El Manzano","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Masnou, Barcelona","El Masnou","Barcelona","Cataluña","9239019","El Masnou","El Masnou,Catalonia,Spain","Municipality","name+community"
"El Masroig, Tarragona","El Masroig","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Maíllo, Salamanca","El Maíllo","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Milano, Salamanca","El Milano","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Milà, Tarragona","El Milà","Tarragona","Cataluña","9209266","El Mila","El Mila,Catalonia,Spain","Municipality","name+community"
"El Mirón, Ávila","El Mirón","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Molar, Madrid","El Molar","Madrid","Comunidad de Madrid",NA,NA,NA,NA,"unmatched"
"El Molar, Tarragona","El Molar","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Montmell, Tarragona","El Montmell","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Morell, Tarragona","El Morell","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Olivar, Guadalajara","El Olivar","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Ordial, Guadalajara","El Ordial","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Oso, Ávila","El Oso","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Palau d'Anglesola, Lleida","El Palau d'Anglesola","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"El Palomar, Valencia","El Palomar","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"El Papio, Barcelona","El Papio","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Parral, Ávila","El Parral","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Paso, Santa Cruz de Tenerife","El Paso","Santa Cruz de Tenerife","Islas Canarias",NA,NA,NA,NA,"unmatched"
"El Payo, Salamanca","El Payo","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Pedernoso, Cuenca","El Pedernoso","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Pedregal, Guadalajara","El Pedregal","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Pedroso de la Armuña, Salamanca","El Pedroso de la Armuña","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Pedroso, Sevilla","El Pedroso","Sevilla","Andalucía",NA,NA,NA,NA,"unmatched"
"El Pego, Zamora","El Pego","Zamora","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Peral, Cuenca","El Peral","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Perdigón, Zamora","El Perdigón","Zamora","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Perelló, Tarragona","El Perelló","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Picazo, Cuenca","El Picazo","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Pinar, Granada","El Pinar","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"El Pinell de Brai, Tarragona","El Pinell de Brai","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Pino de Tormes, Salamanca","El Pino de Tormes","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Piñero, Zamora","El Piñero","Zamora","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Pla de Santa Maria, Tarragona","El Pla de Santa Maria","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Pla del Penedès, Barcelona","El Pla del Penedès","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Poal, Lleida","El Poal","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"El Pobo de Dueñas, Guadalajara","El Pobo de Dueñas","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Pobo, Teruel","El Pobo","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"El Pont d'Armentera, Tarragona","El Pont d'Armentera","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Pont de Bar, Lleida","El Pont de Bar","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"El Pont de Suert, Lleida","El Pont de Suert","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"El Pont de Vilomara i Rocafort, Barcelona","El Pont de Vilomara i Rocafort","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Port de la Selva, Girona","El Port de la Selva","Girona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Pozuelo, Cuenca","El Pozuelo","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Prat de Llobregat, Barcelona","El Prat de Llobregat","Barcelona","Cataluña","9221222","El Prat de Llobregat","El Prat de Llobregat,Catalonia,Spain","Municipality","name+community"
"El Provencio, Cuenca","El Provencio","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Puente del Arzobispo, Toledo","El Puente del Arzobispo","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Puerto de Santa María, Cádiz","El Puerto de Santa María","Cádiz","Andalucía","1005445","El Puerto de Santa Maria","El Puerto de Santa Maria,Andalusia,Spain","City","name+community"
"El Pueyo de Araguás, Huesca","El Pueyo de Araguás","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"El Rasillo de Cameros, La Rioja","El Rasillo de Cameros","La Rioja","La Rioja",NA,NA,NA,NA,"unmatched"
"El Real de San Vicente, Toledo","El Real de San Vicente","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Real de la Jara, Sevilla","El Real de la Jara","Sevilla","Andalucía",NA,NA,NA,NA,"unmatched"
"El Recuenco, Guadalajara","El Recuenco","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Redal, La Rioja","El Redal","La Rioja","La Rioja",NA,NA,NA,NA,"unmatched"
"El Robledo, Ciudad Real","El Robledo","Ciudad Real","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Romeral, Toledo","El Romeral","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Ronquillo, Sevilla","El Ronquillo","Sevilla","Andalucía",NA,NA,NA,NA,"unmatched"
"El Rosario, Santa Cruz de Tenerife","El Rosario","Santa Cruz de Tenerife","Islas Canarias","9220569","Municipality of El Rosario","Municipality of El Rosario,Canary Islands,Spain","Municipality","name+community"
"El Rourell, Tarragona","El Rourell","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"El Royo, Soria","El Royo","Soria","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Rubio, Sevilla","El Rubio","Sevilla","Andalucía",NA,NA,NA,NA,"unmatched"
"El Ràfol d'Almúnia, Alicante","El Ràfol d'Almúnia","Alicante","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"El Sahugo, Salamanca","El Sahugo","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Saucejo, Sevilla","El Saucejo","Sevilla","Andalucía",NA,NA,NA,NA,"unmatched"
"El Sauzal, Santa Cruz de Tenerife","El Sauzal","Santa Cruz de Tenerife","Islas Canarias",NA,NA,NA,NA,"unmatched"
"El Soleràs, Lleida","El Soleràs","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"El Sotillo, Guadalajara","El Sotillo","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Tanque, Santa Cruz de Tenerife","El Tanque","Santa Cruz de Tenerife","Islas Canarias",NA,NA,NA,NA,"unmatched"
"El Tejado, Salamanca","El Tejado","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Tiemblo, Ávila","El Tiemblo","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Toboso, Toledo","El Toboso","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"El Tornadizo, Salamanca","El Tornadizo","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"El Torno, Cáceres","El Torno","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"El Toro, Castellón","El Toro","Castellón","Comunidad Valenciana","9218081","El Toro","El Toro,Valencian Community,Spain","Municipality","name+community"
"El Valle, Granada","El Valle","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"El Vallecillo, Teruel","El Vallecillo","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"El Vellón, Madrid","El Vellón","Madrid","Comunidad de Madrid",NA,NA,NA,NA,"unmatched"
