"unit_name","province","google_criteria_id","google_name","google_canonical_name","google_target_type"
"Arrecife, Las Palmas","Las Palmas","9048993","Arrecife","Arrecife,Canary Islands,Spain","City"
"Arrigorriaga, Vizcaya","Vizcaya","9214726","Arrigorriaga","Arrigorriaga,Basque Country,Spain","Municipality"
"Arroyo de la Encomienda, Valladolid","Valladolid","9221301","Arroyo de la Encomienda","Arroyo de la Encomienda,Castile and Leon,Spain","City"
"Arroyomolinos, Madrid","Madrid","9214217","Arroyomolinos","Arroyomolinos,Community of Madrid,Spain","Municipality"
"Arteixo, A Coruña","A Coruña","9212078","Municipality of Arteixo","Municipality of Arteixo,Galicia,Spain","Municipality"
"Artà, Baleares","Baleares","9221831","Arta","Arta,Balearic Islands,Spain","Municipality"
"Artés, Barcelona","Barcelona","9230828","Artes","Artes,Catalonia,Spain","Municipality"
"Arzúa, A Coruña","A Coruña","9218762","Arzua","Arzua,Galicia,Spain","Municipality"
"Arévalo, Ávila","Ávila","9248740","Arevalo","Arevalo,Castile and Leon,Spain","Municipality"
"As Neves, Pontevedra","Pontevedra","9217656","As Neves","As Neves,Galicia,Spain","Municipality"
"As Pontes de García Rodríguez, A Coruña","A Coruña","9209175","As Pontes de Garcia Rodriguez","As Pontes de Garcia Rodriguez,Galicia,Spain","Municipality"
"As Somozas, A Coruña","A Coruña","9216268","As Somozas","As Somozas,Galicia,Spain","Municipality"
"Aspe, Alicante","Alicante","9236628","Aspe","Aspe,Valencian Community,Spain","Municipality"
"Astorga, León","León","9244973","Astorga","Astorga,Castile and Leon,Spain","City"
"Atarfe, Granada","Granada","9048996","Atarfe","Atarfe,Andalusia,Spain","City"
"Avilés, Asturias","Asturias","9220565","Aviles","Aviles,Asturias,Spain","Municipality"
"Avià, Barcelona","Barcelona","9220096","Avia","Avia,Catalonia,Spain","Municipality"
"Azkoitia, Guipúzcoa","Guipúzcoa","9211250","Azkoitia","Azkoitia,Basque Country,Spain","Municipality"
"Azpeitia, Guipúzcoa","Guipúzcoa","9048997","Azpeitia","Azpeitia,Basque Country,Spain","City"
"Azuqueca de Henares, Guadalajara","Guadalajara","9048998","Azuqueca de Henares","Azuqueca de Henares,Castile-La Mancha,Spain","City"
"Badajoz, Badajoz","Badajoz","9215308","Badajoz","Badajoz,Extremadura,Spain","Municipality"
"Badalona, Barcelona","Barcelona","9214647","Badalona","Badalona,Catalonia,Spain","Municipality"
"Baena, Córdoba","Córdoba","9048999","Baena","Baena,Andalusia,Spain","City"
"Baeza, Jaén","Jaén","9049000","Baeza","Baeza,Andalusia,Spain","City"
"Bailén, Jaén","Jaén","9049001","Bailen","Bailen,Andalusia,Spain","City"
"Baiona, Pontevedra","Pontevedra","9238255","Baiona","Baiona,Galicia,Spain","Municipality"
"Balaguer, Lleida","Lleida","9232979","Balaguer","Balaguer,Catalonia,Spain","Municipality"
"Balenyà, Barcelona","Barcelona","9250660","Balenya","Balenya,Catalonia,Spain","Municipality"
"Balsa de Ves, Albacete","Albacete","9212675","Balsa de Ves","Balsa de Ves,Castile-La Mancha,Spain","Municipality"
"Banyalbufar, Baleares","Baleares","9218330","Banyalbufar","Banyalbufar,Balearic Islands,Spain","Municipality"
"Banyoles, Girona","Girona","9218947","Banyoles","Banyoles,Catalonia,Spain","City"
"Barakaldo, Vizcaya","Vizcaya","9211235","Barakaldo","Barakaldo,Basque Country,Spain","Municipality"
"Barbastro, Huesca","Huesca","9049002","Barbastro","Barbastro,Aragon,Spain","City"
