"unit_name","gid_4","province","area_km2","cells_centroid","cells_interior","interior_frac","nearest_targetable_km","n_touching"
"Manilva, Málaga","ESP.1.7.4.19_1","Málaga",35.467,6,1,0.1667,0,1
"Marbella, Málaga","ESP.1.7.4.20_1","Málaga",116.627,21,3,0.1429,0,1
"Torremolinos, Málaga","ESP.1.7.4.26_1","Málaga",19.524,5,0,0,0,3
"Constantina, Sevilla","ESP.1.8.1.6_1","Sevilla",481.178,77,56,0.7273,0,1
"Gerena, Sevilla","ESP.1.8.1.13_1","Sevilla",129.914,20,10,0.5,0,2
"Alcalá de Guadaíra, Sevilla","ESP.1.8.2.1_1","Sevilla",285.108,48,23,0.4792,0,7
"Arahal, Sevilla","ESP.1.8.2.2_1","Sevilla",201.058,33,15,0.4545,0,4
"Carmona, Sevilla","ESP.1.8.2.4_1","Sevilla",923.758,151,112,0.7417,0,10
"Écija, Sevilla","ESP.1.8.2.5_1","Sevilla",978.227,162,109,0.6728,0,6
"El Cuervo de Sevilla, Sevilla","ESP.1.8.2.7_1","Sevilla",31.046,5,1,0.2,0,2
"El Viso del Alcor, Sevilla","ESP.1.8.2.9_1","Sevilla",19.808,2,0,0,0,2
"Lebrija, Sevilla","ESP.1.8.2.15_1","Sevilla",374.277,60,38,0.6333,0,3
"Mairena del Alcor, Sevilla","ESP.1.8.2.17_1","Sevilla",69.796,13,4,0.3077,0,3
"Marchena, Sevilla","ESP.1.8.2.18_1","Sevilla",377.862,60,40,0.6667,0,5
"Osuna, Sevilla","ESP.1.8.2.19_1","Sevilla",592.426,96,68,0.7083,0,5
"Utrera, Sevilla","ESP.1.8.2.21_1","Sevilla",684.215,108,69,0.6389,0,4
"Alcalá del Río, Sevilla","ESP.1.8.3.1_1","Sevilla",81.762,14,4,0.2857,0,5
"Brenes, Sevilla","ESP.1.8.3.3_1","Sevilla",21.255,2,0,0,0,5
"Burguillos, Sevilla","ESP.1.8.3.4_1","Sevilla",43.181,7,2,0.2857,0,2
"Cantillana, Sevilla","ESP.1.8.3.5_1","Sevilla",107.829,18,8,0.4444,0,4
"Coria del Río, Sevilla","ESP.1.8.3.6_1","Sevilla",61.637,9,4,0.4444,0,2
"Dos Hermanas, Sevilla","ESP.1.8.3.7_1","Sevilla",160.066,25,10,0.4,0,7
"La Algaba, Sevilla","ESP.1.8.3.8_1","Sevilla",17.794,3,0,0,0,3
"La Rinconada, Sevilla","ESP.1.8.3.9_1","Sevilla",139.518,22,9,0.4091,0,5
"Lora del Río, Sevilla","ESP.1.8.3.10_1","Sevilla",293.361,49,34,0.6939,0,3
"Los Palacios y Villafranca, Sevilla","ESP.1.8.3.11_1","Sevilla",109.754,19,7,0.3684,0,3
"San Juan de Aznalfarache, Sevilla","ESP.1.8.3.13_1","Sevilla",4.173,1,0,0,0,4
"Santiponce, Sevilla","ESP.1.8.3.14_1","Sevilla",8.399,2,0,0,0,3
"Tocina, Sevilla","ESP.1.8.3.16_1","Sevilla",13.838,1,0,0,0,1
"Villaverde del Río, Sevilla","ESP.1.8.3.18_1","Sevilla",40.779,8,2,0.25,0,4
"Bormujos, Sevilla","ESP.1.8.4.5_1","Sevilla",12.061,3,0,0,0,3
"Camas, Sevilla","ESP.1.8.4.6_1","Sevilla",11.725,2,0,0,0,4
"Espartinas, Sevilla","ESP.1.8.4.11_1","Sevilla",22.726,4,0,0,0,5
"Gelves, Sevilla","ESP.1.8.4.12_1","Sevilla",8.339,1,0,0,0,5
"Mairena del Aljarafe, Sevilla","ESP.1.8.4.15_1","Sevilla",17.659,3,0,0,0,5
"Olivares, Sevilla","ESP.1.8.4.16_1","Sevilla",45.262,9,0,0,0,3
"Palomares del Río, Sevilla","ESP.1.8.4.17_1","Sevilla",12.908,2,0,0,0,5
"Pilas, Sevilla","ESP.1.8.4.18_1","Sevilla",45.902,8,1,0.125,3.9786,0
"Sanlúcar la Mayor, Sevilla","ESP.1.8.4.20_1","Sevilla",135.234,22,8,0.3636,0,4
"Tomares, Sevilla","ESP.1.8.4.22_1","Sevilla",5.207,0,0,0,0,5
"Umbrete, Sevilla","ESP.1.8.4.23_1","Sevilla",12.387,1,0,0,0,2
"Valencina de la Concepción, Sevilla","ESP.1.8.4.24_1","Sevilla",25.239,4,0,0,0,3
"Aguadulce, Sevilla","ESP.1.8.6.1_1","Sevilla",13.833,3,0,0,0,2
"Casariche, Sevilla","ESP.1.8.6.3_1","Sevilla",53.213,8,3,0.375,0,2
"Estepa, Sevilla","ESP.1.8.6.4_1","Sevilla",189.571,29,10,0.3448,0,6
"Herrera, Sevilla","ESP.1.8.6.6_1","Sevilla",53.334,9,3,0.3333,0,3
"La Puebla de Cazalla, Sevilla","ESP.1.8.7.4_1","Sevilla",189.864,30,19,0.6333,0,3
"Morón de la Frontera, Sevilla","ESP.1.8.7.8_1","Sevilla",431.598,72,45,0.625,0,4
"Laspaúles, Huesca","ESP.2.1.1.18_1","Huesca",81.505,12,6,0.5,40.296,0
"Fiscal, Huesca","ESP.2.1.2.8_1","Huesca",169.91,31,15,0.4839,17.8183,0
"Barbastro, Huesca","ESP.2.1.3.6_1","Huesca",107.569,20,8,0.4,2.0509,0
"Binéfar, Huesca","ESP.2.1.4.10_1","Huesca",24.994,4,0,0,0,1
"Monzón, Huesca","ESP.2.1.4.14_1","Huesca",154.631,25,10,0.4,0,1
"Fraga, Huesca","ESP.2.1.5.7_1","Huesca",436.792,77,40,0.5195,6.0875,0
"Huesca, Huesca","ESP.2.1.7.24_1","Huesca",160.991,28,9,0.3214,15.6497,0
"Las Peñas de Riglos, Huesca","ESP.2.1.7.28_1","Huesca",217.519,37,12,0.3243,0,1
"Jaca, Huesca","ESP.2.1.8.14_1","Huesca",411.323,75,44,0.5867,0,1
"Alcañiz, Teruel","ESP.2.2.1.4_1","Teruel",471.85,85,54,0.6353,24.4724,0
"Aliaga, Teruel","ESP.2.2.2.2_1","Teruel",196.748,31,17,0.5484,31.522,0
"Teruel, Teruel","ESP.2.2.4.28_1","Teruel",440.159,70,50,0.7143,30.2549,0
"Cuarte de Huerva, Zaragoza","ESP.2.3.2.15_1","Zaragoza",8.949,2,0,0,0,1
"Utebo, Zaragoza","ESP.2.3.2.56_1","Zaragoza",17.865,2,0,0,0,1
"Villanueva de Gállego, Zaragoza","ESP.2.3.2.60_1","Zaragoza",75.908,15,3,0.2,0,1
"Arenas de Iguña, Cantabria","ESP.3.1.2.2_1","Cantabria",86.8,15,4,0.2667,0,1
"Los Corrales de Buelna, Cantabria","ESP.3.1.2.6_1","Cantabria",45.481,9,2,0.2222,0,2
"Torrelavega, Cantabria","ESP.3.1.2.11_1","Cantabria",35.49,8,1,0.125,0,1
"Campoo de Yuso, Cantabria","ESP.3.1.3.2_1","Cantabria",89.324,15,5,0.3333,2.645,0
"Reinosa, Cantabria","ESP.3.1.3.6_1","Cantabria",4.321,1,0,0,2.645,0
"Valderredible, Cantabria","ESP.3.1.3.11_1","Cantabria",297.768,51,20,0.3922,7.0274,0
"Camargo, Cantabria","ESP.3.1.4.1_1","Cantabria",37.065,7,0,0,0,3
"El Astillero, Cantabria","ESP.3.1.4.2_1","Cantabria",6.615,0,0,0,0,1
"Santa Cruz de Bezana, Cantabria","ESP.3.1.4.6_1","Cantabria",17.558,3,0,0,0,2
"Santander, Cantabria","ESP.3.1.4.7_1","Cantabria",36.374,7,1,0.1429,0,2
"Comillas, Cantabria","ESP.3.1.5.2_1","Cantabria",18.833,4,0,0,0,1
"Valdáliga, Cantabria","ESP.3.1.5.8_1","Cantabria",97.489,16,9,0.5625,0,1
"Castro-Urdiales, Cantabria","ESP.3.1.6.1_1","Cantabria",97.257,17,6,0.3529,3.6236,0
"Colindres, Cantabria","ESP.3.1.6.2_1","Cantabria",4.949,1,0,0,0,1
"Laredo, Cantabria","ESP.3.1.6.3_1","Cantabria",13.663,3,0,0,0,1
"Camaleño, Cantabria","ESP.3.1.7.2_1","Cantabria",160.862,27,15,0.5556,0,1
"Potes, Cantabria","ESP.3.1.7.5_1","Cantabria",7.782,2,0,0,0,1
"Bárcena de Cicero, Cantabria","ESP.3.1.11.3_1","Cantabria",32.134,6,0,0,0.202,0
"Noja, Cantabria","ESP.3.1.11.13_1","Cantabria",8.501,1,0,0,0,1
"Santoña, Cantabria","ESP.3.1.11.17_1","Cantabria",10.134,2,0,0,0,1
"Albacete, Albacete","ESP.4.1.1.1_1","Albacete",1140.392,190,137,0.7211,0,2
"Balsa de Ves, Albacete","ESP.4.1.2.5_1","Albacete",76.372,13,4,0.3077,0,1
"Almansa, Albacete","ESP.4.1.3.1_1","Albacete",531.595,89,65,0.7303,0,3
"Caudete, Albacete","ESP.4.1.3.4_1","Albacete",142.221,25,12,0.48,0,3
"Hellín, Albacete","ESP.4.1.5.2_1","Albacete",778.387,129,95,0.7364,0,4
"La Roda, Albacete","ESP.4.1.6.3_1","Albacete",397.896,68,36,0.5294,0,2
"Villarrobledo, Albacete","ESP.4.1.6.10_1","Albacete",862.305,147,111,0.7551,0,2
"Alcázar de San Juan, Ciudad Real","ESP.4.2.1.1_1","Ciudad Real",666.616,112,86,0.7679,0,1
"Daimiel, Ciudad Real","ESP.4.2.1.6_1","Ciudad Real",437.961,72,50,0.6944,0,4
"La Solana, Ciudad Real","ESP.4.2.1.8_1","Ciudad Real",133.971,24,11,0.4583,0,1
"Manzanares, Ciudad Real","ESP.4.2.1.11_1","Ciudad Real",474.885,81,47,0.5802,0,5
